City/Community Label,All Included Communities,Combined_Population
Vermont Vista--(Region:86),Los Angeles-Green Meadows;Los Angeles-Vermont Vista,63401
Florence-Firestone--(Region:8 7),Los Angeles-Florence-Firestone,48852
Vermont Knolls--(Region:88),Los Angeles-Gramercy Place;Los Angeles-Manchester Square;Los Angeles-Vermont Knolls,36831
Harvard Park--(Region:89),Los Angeles-Harvard Park,39646
Hyde Park--(Region:90),Los Angeles-Hyde Park;Los Angeles-View Heights,32712
Westchester--(Region:91),Los Angeles-Westchester,50798
Playa Vista--(Region:92),Los Angeles-Marina Peninsula;Los Angeles-Playa Del Rey;Los Angeles-Playa Vista;Unincorporated-Del Rey;Unincorporated-Marina del Rey,27092
Del Rey--(Region:93),Los Angeles-Del Rey,29258
Venice--(Region:94),Los Angeles-Venice,34136
Mar Vista--(Region:95),Los Angeles-Mar Vista,41891
Palms--(Region:96),Los Angeles-Palms,45160
Century City--(Region:97),Los Angeles-Century City;Los Angeles-Cheviot Hills;Los Angeles-Rancho Park,28076
Beverlywood--(Region:98),Los Angeles-Beverlywood;Los Angeles-Cadillac-Corning;Los Angeles-Regent Square;Los Angeles-Reynier Village,27910
Crestview--(Region:99),Los Angeles-Crestview;Los Angeles-Faircrest Heights;Los Angeles-South Carthay,25678
Park La Brea--(Region:100),Los Angeles-Carthay;Los Angeles-Park La Brea;Unincorporated-Miracle Mile,27005
Miracle Mile--(Region:101),Los Angeles-Brookside;Los Angeles-Mid-city;Los Angeles-Miracle Mile;Los Angeles-Sycamore Square,34069
Cloverdale/Cochran--(Region:1 02),Los Angeles-Cloverdale/Cochran;Los Angeles-Lafayette Square;Los Angeles-Longwood;Los Angeles-St Elmo Village,28768
Crenshaw District--(Region:103),Los Angeles-Alsace;Los Angeles-Crenshaw District;Los Angeles-Exposition,29977
Baldwin Hills--(Region:104),Los Angeles-Baldwin Hills,29994
Leimert Park--(Region:105),Los Angeles-Jefferson Park;Los Angeles-Leimert Park;Los Angeles-Wellington Square,28318
West Vernon--(Region:106),Los Angeles-Vermont Square;Los Angeles-West Vernon,61940
Exposition Park--(Region:107),Los Angeles-Exposition Park,45190
South Park--(Region:108),Los Angeles-South Park,39093
Vernon Central--(Region:109),Los Angeles-Vernon Central,54121
Central--(Region:110),Los Angeles-Central,39107
Wholesale District--(Region:111),Los Angeles-Wholesale District,38191
Boyle Heights--(Region:112),Los Angeles-Boyle Heights,87247
Lincoln Heights--(Region:113),Los Angeles-Lincoln Heights,33052
El Sereno--(Region:114),Los Angeles-El Sereno;Los Angeles-University Hills,45030
Highland Park--(Region:115),Los Angeles-Highland Park,48168
Eagle Rock--(Region:116),Los Angeles-Eagle Rock,39175
Glassell Park--(Region:117),Los Angeles-Glassell Park,31385
Mt. Washington--(Region:118),Los Angeles-Elysian Valley;Los Angeles-Mt. Washington,34192
Echo Park--(Region:119),Los Angeles-Angelino Heights;Los Angeles-Chinatown;Los Angeles-Echo Park;Los Angeles-Elysian Park,30710
Downtown--(Region:120),Los Angeles-Downtown;Los Angeles-Little Tokyo,27488
University Park--(Region:121),Los Angeles-Adams-Normandie;Los Angeles-University Park,35410
West Adams--(Region:122),Los Angeles-West Adams,28121
Harvard Heights--(Region:123),Los Angeles-Harvard Heights;Los Angeles-Victoria Park,26967
Pico-Union--(Region:124),Los Angeles-Pico-Union,42603
Westlake--(Region:125),Los Angeles-Westlake,58683
Wilshire Center--(Region:126),Los Angeles-Wilshire Center,51463
Little Bangladesh--(Region:127),Los Angeles-Little Bangladesh,29070
Koreatown--(Region:128),Los Angeles-Koreatown,52603
Hancock Park--(Region:129),Los Angeles-Country Club Park;Los Angeles-Hancock Park,31829
Melrose--(Region:130),Los Angeles-Melrose,77634
East Hollywood--(Region:131),Los Angeles-East Hollywood,29790
Silverlake--(Region:132),Los Angeles-Silverlake,43188
Temple-Beaudry--(Region:133),Los Angeles-Historic Filipinotown;Los Angeles-Temple-Beaudry,53142
Los Feliz--(Region:134),Los Angeles-Atwater Village;Los Angeles-Little Armenia;Los Angeles-Los Feliz;Los Angeles-Thai Town,53290
Hollywood--(Region:135),Los Angeles-Hollywood,64944
Hollywood Hills--(Region:136),Los Angeles-Hollywood Hills,28875
Studio City--(Region:137),Los Angeles-Studio City;Los Angeles-Toluca Lake;Los Angeles-Toluca Terrace;Los Angeles-Toluca Woods;Unincorporated-Universal City,32881
Valley Glen--(Region:138),Los Angeles-Valley Glen;Los Angeles-Valley Village,53274
North Hollywood--(Region:139),Los Angeles-North Hollywood,151354
Sun Valley--(Region:140),Los Angeles-Sun Valley,55192
Tujunga--(Region:141),Los Angeles-Angeles National Forest;Los Angeles-Tujunga,28196
Sunland--(Region:142),Los Angeles-Lakeview Terrace;Los Angeles-Shadow Hills;Los Angeles-Sunland,38465
